16440064		云南
62059631		江西
21976546		青海
22312090		新疆
63737352		山东
11239127		湖南
58704188		安徽
24660900		台湾
16775609		西藏
16607837		贵州
21808774		甘肃
22144318		宁夏
24325356		香港
24493128		澳门
83870012		广西
57026466		江苏
13755710		山西
13923482		内蒙古
82192290		广东
30182920		天津
10903583		河南
60381909		福建
85547733		海南
18956647		辽宁
11071355		湖北
16272292		四川
13587938		河北
31860642		上海
19124419		吉林
19292191		黑龙江
21641001		陕西
28505199		北京
55348744		浙江
16776526	16775609	日喀则
18961496	18956647	阜新
18960186	18956647	丹东
18958875	18956647	本溪
18957564	18956647	大连
18968705	18956647	铁岭
18967395	18956647	辽阳
16293526	16272292	凉山
16286972	16272292	自贡
16285662	16272292	宜宾
16284351	16272292	遂宁
16282385	16272292	南充
16277142	16272292	乐山
16275831	16272292	广安
16274520	16272292	达州
25767411	85547733	海南测试
16451468	16440064	文山
16444914	16440064	临沧
16443603	16440064	丽江
16442293	16440064	保山
16440982	16440064	曲靖
16612686	16607837	铜仁
16609409	16607837	遵义
16608099	16607837	贵阳
62167110	62059631	抚州
62114681	62059631	上饶
62101574	62059631	赣州
62088467	62059631	新余
62075360	62059631	景德镇
13598030	13587938	邢台
13592787	13587938	秦皇岛
13591477	13587938	衡水
13590166	13587938	承德
13588855	13587938	保定
32007443	31860642	浦东新区
31994336	31860642	奉贤区
31974675	31860642	嘉定区
21645196	21641001	渭南
21643885	21641001	商洛
21642574	21641001	宝鸡
21641264	21641001	西安
21820832	21808774	临夏
21976808	21976546	西宁
22147201	22144318	中卫
22145891	22144318	石嘴山
22144580	22144318	银川
22322183	22312090	伊犁
22316940	22312090	塔城
22313663	22312090	哈密
22312352	22312090	乌鲁木齐
28507820	28505199	东城区
58837881	58704188	巢湖
58824774	58704188	六安
58811667	58704188	宿州
58752684	58704188	安庆
58739577	58704188	淮北
58726470	58704188	淮南
58713363	58704188	芜湖
13765802	13755710	阳泉
13760560	13755710	朔州
13759249	13755710	临汾
85701088	85547733	琼中
85694534	85547733	陵水
85674873	85547733	保亭
85668320	85547733	白沙
85602784	85547733	澄迈
85596230	85547733	儋州
